index,Participant_ID,Round,InfoOrderGroup,Context,CausalScore,BonusScore,Is_Human,ST_Outcome,End_Outcome,TakesAction,MotivatedByEndOutcome,Is_Pivotal,DummyText,Time_Agent,Time_Action,Time_Incentive,Time_Pivotal,Time_ST_Outcome,Time_Dummy,Time_EndOutcome,Views_Agent,Views_Action,Views_Incentive,Views_Pivotal,Views_ST_Outcome,Views_Dummy,Views_EndOutcome,ContextIsFootball,InfoOrderB,InfoOrderC,Time_Action_md,Time_Agent_md,Time_Incentive_md,Time_Pivotal_md,Time_ST_Outcome_md,Time_Dummy_md,Time_EndOutcome_md,Is_SouthAfrican,CorrectNumeracy,PostGraduateDegree
52,53,7,B,Business,7,10.0,1,1,1,0,0,1,0,1868.0,1609.0,2018.0,1749.0,3683.0,4299.0,1298.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,-2419.356971153846,-624.746394230769,-589.6899038461538,-868.5240384615386,1991.3846153846155,2957.0504807692305,-1024.8822115384614,1.0,0.0,1.0
0,1,7,A,Business,3,0.0,0,1,0,0,1,1,0,2651.0,5432.0,2101.0,1600.0,5550.0,1617.0,3915.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1403.6430288461538,158.25360576923094,-506.6899038461538,-1017.5240384615386,3858.3846153846152,275.0504807692307,1592.1177884615386,1.0,0.0,1.0
2,3,7,C,Football,5,0.0,0,0,0,0,0,1,0,785.0,1550.0,551.0,2649.0,5382.0,802.0,1951.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,-228.03125,-1417.7295673076924,-1799.0649038461538,779.3209134615386,2239.5540865384614,-712.9122596153845,-14.901442307692378,1.0,1.0,0.0
9,10,7,A,Football,1,1.0,1,1,0,1,0,1,1,3903.0,1170.0,1361.0,990.0,1225.0,810.0,857.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-608.03125,1700.2704326923076,-989.0649038461538,-879.6790865384614,-1917.4459134615386,-704.9122596153845,-1108.9014423076924,1.0,1.0,0.0
11,12,7,C,Business,5,1.0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4028.356971153846,-2492.746394230769,-2607.689903846154,-2617.5240384615386,-1691.6153846153845,-1341.9495192307693,-2322.8822115384614,1.0,0.0,0.0
14,15,7,C,Business,1,10.0,1,1,1,0,0,1,0,916.0,4849.0,6850.0,1002.0,5016.0,683.0,3731.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,820.6430288461538,-1576.746394230769,4242.310096153846,-1615.5240384615386,3324.3846153846152,-658.9495192307693,1408.1177884615386,1.0,0.0,0.0
16,17,7,B,Business,7,-10.0,1,0,0,1,1,0,0,0.0,15564.0,1418.0,0.0,0.0,0.0,1633.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11535.643028846154,-2492.746394230769,-1189.6899038461538,-2617.5240384615386,-1691.6153846153845,-1341.9495192307693,-689.8822115384614,1.0,0.0,1.0
43,44,7,B,Business,2,-1.0,1,1,0,0,0,1,1,2514.0,5628.0,15330.0,750.0,1016.0,616.0,4362.0,2.0,3.0,8.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1599.6430288461538,21.253605769230944,12722.310096153846,-1867.5240384615386,-675.6153846153845,-725.9495192307693,2039.1177884615386,1.0,0.0,0.0
44,45,7,C,Football,5,0.0,1,0,0,1,1,1,0,9415.0,4400.0,37032.0,3330.0,4875.0,6869.0,2751.0,8.0,4.0,10.0,3.0,5.0,4.0,4.0,1.0,0.0,1.0,2621.96875,7212.270432692308,34681.935096153844,1460.3209134615386,1732.5540865384614,5354.087740384615,785.0985576923076,1.0,0.0,0.0
45,46,7,A,Business,1,0.0,1,0,0,0,0,0,1,999.0,5250.0,916.0,1934.0,716.0,934.0,1882.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1221.6430288461538,-1493.746394230769,-1691.6899038461538,-683.5240384615386,-975.6153846153845,-407.9495192307693,-440.88221153846143,1.0,1.0,1.0
55,56,7,B,Football,6,10.0,1,1,1,1,0,0,1,2067.0,1768.0,1251.0,1184.0,1349.0,1134.0,1099.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-10.03125,-135.72956730769238,-1099.0649038461538,-685.6790865384614,-1793.4459134615386,-380.9122596153845,-866.9014423076924,0.0,1.0,0.0
5,6,7,C,Football,5,1.0,0,1,1,0,1,1,1,3369.0,4188.0,1576.0,2672.0,1755.0,1389.0,2460.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,2409.96875,1166.2704326923076,-774.0649038461538,802.3209134615386,-1387.4459134615386,-125.91225961538453,494.0985576923076,1.0,1.0,0.0
7,8,7,B,Business,6,-1.0,1,0,1,1,0,0,1,1439.0,7529.0,1479.0,850.0,1406.0,2647.0,1512.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,3500.643028846154,-1053.746394230769,-1128.6899038461538,-1767.5240384615386,-285.6153846153845,1305.0504807692307,-810.8822115384614,0.0,1.0,0.0
10,11,7,B,Football,6,10.0,1,1,1,1,1,1,0,1415.0,1216.0,916.0,1018.0,2699.0,1348.0,1882.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,-562.03125,-787.7295673076924,-1434.0649038461538,-851.6790865384614,-443.44591346153857,-166.91225961538453,-83.90144230769238,1.0,0.0,0.0
18,19,7,A,Business,5,1.0,0,1,1,1,0,1,0,904.0,5823.0,1015.0,4415.0,1535.0,1750.0,2119.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1794.6430288461538,-1588.746394230769,-1592.6899038461538,1797.4759615384614,-156.61538461538453,408.0504807692307,-203.88221153846143,0.0,1.0,1.0
19,20,7,B,Business,6,10.0,0,0,1,0,0,1,1,1430.0,2516.0,14883.0,2448.0,2400.0,4700.0,4418.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,0.0,1.0,0.0,-1512.3569711538462,-1062.746394230769,12275.310096153846,-169.52403846153857,708.3846153846155,3358.0504807692305,2095.1177884615386,1.0,1.0,0.0
20,21,7,C,Business,6,1.0,1,0,1,1,1,1,0,2830.0,2761.0,2222.0,3374.0,2966.0,1569.0,3602.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,-1267.3569711538462,337.25360576923094,-385.6899038461538,756.4759615384614,1274.3846153846155,227.05048076923072,1279.1177884615386,1.0,0.0,1.0
21,22,7,A,Business,6,-1.0,0,0,1,1,0,0,1,1000.0,958.0,1425.0,883.0,742.0,925.0,1208.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-3070.356971153846,-1492.746394230769,-1182.6899038461538,-1734.5240384615386,-949.6153846153845,-416.9495192307693,-1114.8822115384614,0.0,1.0,1.0
22,23,7,B,Football,1,0.0,1,1,0,0,0,1,0,4024.0,1482.0,1713.0,2862.0,3508.0,978.0,1256.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,-296.03125,1821.2704326923076,-637.0649038461538,992.3209134615386,365.55408653846143,-536.9122596153845,-709.9014423076924,0.0,1.0,1.0
34,35,7,B,Business,5,-1.0,0,0,0,1,1,0,0,938.0,2459.0,1241.0,835.0,668.0,1105.0,1354.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,-1569.3569711538462,-1554.746394230769,-1366.6899038461538,-1782.5240384615386,-1023.6153846153845,-236.94951923076928,-968.8822115384614,1.0,1.0,1.0
35,36,7,C,Football,5,0.0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1778.03125,-2202.7295673076924,-2350.064903846154,-1869.6790865384614,-3142.4459134615386,-1514.9122596153845,-1965.9014423076924,0.0,0.0,1.0
37,38,7,B,Football,5,0.0,0,0,1,1,0,0,1,1515.0,4612.0,2023.0,2999.0,8194.0,2965.0,7077.0,1.0,3.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,0.0,2833.96875,-687.7295673076924,-327.0649038461538,1129.3209134615386,5051.554086538461,1450.0877403846155,5111.098557692308,1.0,0.0,1.0
39,40,7,A,Football,6,10.0,1,1,1,0,1,1,1,1115.0,767.0,2035.0,4219.0,1352.0,1917.0,1267.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1011.03125,-1087.7295673076924,-315.0649038461538,2349.3209134615386,-1790.4459134615386,402.0877403846155,-698.9014423076924,1.0,0.0,0.0
41,42,7,C,Business,7,-10.0,0,0,0,0,0,0,1,1455.0,2965.0,2298.0,1416.0,2615.0,983.0,9447.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,-1063.3569711538462,-1037.746394230769,-309.6899038461538,-1201.5240384615386,923.3846153846155,-358.9495192307693,7124.117788461539,1.0,1.0,1.0
53,54,7,C,Football,6,10.0,0,1,1,0,0,1,1,0.0,1267.0,100.0,571.0,500.0,0.0,1332.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-511.03125,-2202.7295673076924,-2250.064903846154,-1298.6790865384614,-2642.4459134615386,-1514.9122596153845,-633.9014423076924,1.0,0.0,0.0
1,2,8,B,Football,1,1.0,1,1,0,1,1,1,1,1199.0,1385.0,1049.0,1667.0,1361.0,1466.0,1616.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,-393.03125,-1003.7295673076924,-1301.0649038461538,-202.67908653846143,-1781.4459134615386,-48.91225961538453,-349.9014423076924,0.0,0.0,1.0
15,16,8,A,Business,6,10.0,1,1,1,1,0,0,1,5432.0,597.0,8819.0,687.0,4379.0,874.0,2325.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,-3431.356971153846,2939.253605769231,6211.310096153846,-1930.5240384615386,2687.3846153846152,-467.9495192307693,2.1177884615385665,0.0,0.0,0.0
23,24,8,C,Business,6,10.0,0,1,1,1,1,0,1,583.0,2551.0,1235.0,600.0,651.0,517.0,1166.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1477.3569711538462,-1909.746394230769,-1372.6899038461538,-2017.5240384615386,-1040.6153846153845,-824.9495192307693,-1156.8822115384614,0.0,0.0,0.0
24,25,8,A,Business,6,-10.0,0,0,0,0,1,1,0,3399.0,6217.0,1501.0,2816.0,1735.0,2034.0,1849.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2188.643028846154,906.253605769231,-1106.6899038461538,198.47596153846143,43.38461538461547,692.0504807692307,-473.88221153846143,1.0,0.0,1.0
25,26,8,B,Business,1,-1.0,0,1,0,1,1,0,1,700.0,849.0,2999.0,865.0,770.0,917.0,1634.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,-3179.356971153846,-1792.746394230769,391.3100961538462,-1752.5240384615386,-921.6153846153845,-424.9495192307693,-688.8822115384614,0.0,1.0,0.0
26,27,8,C,Business,3,-1.0,0,1,0,1,0,0,0,1208.0,1090.0,730.0,1318.0,1620.0,2566.0,1281.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,-2938.356971153846,-1284.746394230769,-1877.6899038461538,-1299.5240384615386,-71.61538461538453,1224.0504807692307,-1041.8822115384614,0.0,0.0,0.0
27,28,8,A,Business,3,0.0,1,0,1,0,0,0,1,2150.0,2085.0,1717.0,2634.0,1301.0,1717.0,1379.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,-1943.3569711538462,-342.74639423076906,-890.6899038461538,16.475961538461434,-390.6153846153845,375.0504807692307,-943.8822115384614,0.0,1.0,1.0
31,32,8,B,Football,3,1.0,1,0,1,1,0,0,1,1883.0,1733.0,4847.0,2285.0,4507.0,2110.0,1617.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,-45.03125,-319.7295673076924,2496.935096153846,415.32091346153857,1364.5540865384614,595.0877403846155,-348.9014423076924,0.0,1.0,0.0
32,33,8,C,Football,5,1.0,0,1,1,1,0,0,0,750.0,1341.0,784.0,1393.0,1213.0,484.0,1532.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,-437.03125,-1452.7295673076924,-1566.0649038461538,-476.67908653846143,-1929.4459134615386,-1030.9122596153845,-433.9014423076924,0.0,1.0,1.0
33,34,8,A,Football,2,0.0,0,0,0,0,1,0,1,1644.0,492.0,2312.0,1116.0,716.0,1095.0,738.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,-1286.03125,-558.7295673076924,-38.06490384615381,-753.6790865384614,-2426.4459134615386,-419.9122596153845,-1227.9014423076924,0.0,1.0,1.0
36,37,8,A,Football,6,-10.0,0,0,0,0,0,0,0,645.0,312.0,936.0,994.0,1028.0,661.0,1305.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,-1466.03125,-1557.7295673076924,-1414.0649038461538,-875.6790865384614,-2114.4459134615386,-853.9122596153845,-660.9014423076924,1.0,0.0,0.0
38,39,8,C,Football,1,1.0,1,1,0,0,1,1,0,4603.0,7076.0,6086.0,4288.0,8279.0,2307.0,3033.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,5297.96875,2400.2704326923076,3735.935096153846,2418.3209134615386,5136.554086538461,792.0877403846155,1067.0985576923076,0.0,0.0,1.0
47,48,8,C,Business,5,1.0,1,1,0,1,0,0,1,902.0,4207.0,993.0,1292.0,632.0,764.0,2687.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,178.6430288461538,-1590.746394230769,-1614.6899038461538,-1325.5240384615386,-1059.6153846153845,-577.9495192307693,364.11778846153857,0.0,0.0,0.0
54,55,8,A,Football,3,0.0,1,0,1,0,0,1,0,1009.0,1052.0,0.0,0.0,0.0,1604.0,2702.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,-726.03125,-1193.7295673076924,-2350.064903846154,-1869.6790865384614,-3142.4459134615386,89.08774038461547,736.0985576923076,0.0,0.0,0.0
3,4,8,A,Football,6,1.0,0,1,1,1,0,0,1,912.0,1036.0,1170.0,618.0,1542.0,519.0,720.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,-742.03125,-1290.7295673076924,-1180.0649038461538,-1251.6790865384614,-1600.4459134615386,-995.9122596153845,-1245.9014423076924,0.0,1.0,0.0
4,5,8,B,Business,5,0.0,0,0,0,0,0,1,0,922.0,1703.0,1358.0,841.0,3264.0,2128.0,1387.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,-2325.356971153846,-1570.746394230769,-1249.6899038461538,-1776.5240384615386,1572.3846153846155,786.0504807692307,-935.8822115384614,0.0,0.0,1.0
6,7,8,A,Football,5,10.0,1,1,1,0,0,1,0,1299.0,1456.0,6189.0,1457.0,2157.0,917.0,1216.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,-322.03125,-903.7295673076924,3838.935096153846,-412.67908653846143,-985.4459134615386,-597.9122596153845,-749.9014423076924,1.0,1.0,1.0
8,9,8,C,Business,5,0.0,0,1,0,1,1,1,0,2366.0,182607.0,6352.0,914.0,1431.0,1011.0,3412.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,178578.64302884616,-126.74639423076906,3744.310096153846,-1703.5240384615386,-260.6153846153845,-330.9495192307693,1089.1177884615386,1.0,0.0,1.0
12,13,8,A,Business,5,1.0,0,1,1,0,0,1,0,2551.0,4243.0,1457.0,3484.0,1073.0,1273.0,2628.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,214.6430288461538,58.253605769230944,-1150.6899038461538,866.4759615384614,-618.6153846153845,-68.94951923076928,305.11778846153857,0.0,0.0,1.0
13,14,8,B,Football,4,0.0,1,1,0,0,0,1,1,2183.0,1900.0,1849.0,2960.0,1799.0,1748.0,1149.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,121.96875,-19.729567307692378,-501.0649038461538,1090.3209134615386,-1343.4459134615386,233.08774038461547,-816.9014423076924,0.0,0.0,0.0
