,Is_Human,ST_Outcome,End_Outcome,TakesAction,MotivatedByEndOutcome,Is_Pivotal,DummyText,ContextIsFootball,Participant,Cluster
0,0.1635768811341331,0.2791712104689197,0.15994183933115114,0.09305707015630779,0.0,0.03925845147219269,0.0,0.2649945474372956,36,3
0,0.0,0.14132386719565676,0.14441428273125864,0.037419085404051394,0.3554813113384841,0.09521820839423663,0.0,0.22614324493631244,37,1
0,0.10916759707232322,0.1831038332713063,0.13897602211707227,0.13607670087015045,0.0,0.11968738369929292,0.0,0.3129884629698549,38,3
0,0.0,0.17221172022684292,0.2880080818594392,0.03780718336483945,0.12230623818525499,0.10530295492985846,0.0,0.27436382143376503,39,2
0,0.16506163481868724,0.19751865001795127,0.3606813739178994,0.00446802569114766,0.0,0.030159173415247136,0.0,0.2421111421390673,40,2
0,0.002660204586359754,0.27988261847262796,0.0824995947344579,0.20233878839017083,0.07914108644417911,0.03591276191584487,0.0,0.3175649454563596,41,3
0,0.2983839689722046,0.1580598051186282,0.16631473102061314,0.035260599966482724,0.14741075917546476,0.07239819004524918,0.0,0.12217194570135745,42,1
0,0.1113422715364505,0.41023270149483587,0.16730235783634034,0.05501618122977423,0.17259978425026767,0.0,0.0,0.08350670365233141,43,2
0,0.19241443108233053,0.1665124884366331,0.05365402405180432,0.176820404387473,0.11457645037663555,0.1279238800052856,0.0,0.16809832165983782,44,1
0,0.21452276649409247,0.19115890083632028,0.05734767025089635,0.0960042479755747,0.14241338112305804,0.11509358821186778,0.0,0.1834594451081904,45,1
0,0.0,0.032951945080091444,0.08931546256946728,0.47670979821094284,0.042178489702517204,0.004393592677345538,0.0,0.3544507117596357,46,4
0,0.053274139844617124,0.049722530521640204,0.17874257361100598,0.0,0.12750973863464143,0.05327413984461334,0.0,0.537476877543482,47,0
0,0.2597817570279218,0.09720412024385038,0.14607045256614268,0.19918698077201324,0.14568005045196553,0.08072314483918443,0.0,0.07135349409892208,48,1
0,0.00338405499089381,0.11073379942424068,0.0,0.042300687386170016,0.14183487624531047,0.3573170858144086,0.0,0.3444294961389764,53,0
0,0.0356274080229658,0.027287149656267058,0.5006421394575808,0.20519755231547937,0.08778424114225264,0.03331570597567417,0.0,0.11014580342978017,54,2
